2.209909402590782265e+05;1.906017972397457575e+06;3.074823358869958270e+02
2.209792587521677488e+05;1.906136234928187681e+06;3.273646888482090844e+02
2.209835296668762749e+05;1.906135096595264971e+06;3.248185592282195557e+02
2.209799024863237573e+05;1.906137281093597179e+06;3.283397834024999611e+02
2.209809411186799989e+05;1.906137074117806274e+06;3.279182914853846000e+02
2.209813293368438317e+05;1.906137967525359709e+06;3.293824893680643981e+02
2.209837484182572225e+05;1.906101436913214857e+06;3.137646569233332343e+02
2.209828273744587495e+05;1.906135508062361274e+06;3.255924937437499693e+02
2.210077828853503161e+05;1.906129342997839674e+06;3.245330347401376798e+02
2.210087796009606973e+05;1.906126499361674068e+06;3.251469997728571570e+02
2.210160761788641685e+05;1.905977584262188757e+06;3.051043022426954394e+02
2.210485687632372137e+05;1.905986967036304763e+06;3.071576579215230254e+02
2.210490923660277913e+05;1.905991553281784058e+06;3.050818677136666111e+02
2.210845483011863253e+05;1.906025674716075184e+06;3.010122220230830408e+02
2.210776334718163416e+05;1.906020335915181087e+06;3.014615234443283498e+02
2.210788933999512810e+05;1.906022333609729772e+06;3.086921629886086862e+02
2.210796449932023534e+05;1.906023151807066053e+06;2.996453102088015612e+02
2.210782918460554210e+05;1.906018995131860953e+06;3.014583854938462082e+02
2.210815136558126251e+05;1.906022361142610200e+06;2.999574954236842927e+02
2.210859995707190828e+05;1.906026494313218631e+06;3.020582978015555682e+02
2.210545423214822076e+05;1.905993300543016288e+06;3.067060744373117700e+02
2.210815356760025024e+05;1.906021265810012352e+06;3.008182789987499746e+02
2.210860543534250173e+05;1.906026659820557106e+06;3.040302070492424491e+02
2.210876122755731631e+05;1.906024899709942285e+06;2.980966500813793800e+02
2.210936974703458545e+05;1.906032161949157482e+06;2.960883891891666053e+02
2.210842656551216496e+05;1.906021878629360814e+06;3.038224542214624648e+02
2.210496905090319924e+05;1.905988356983184814e+06;3.056613644799999747e+02
2.210827486662696465e+05;1.906020346526533831e+06;3.016898631492592244e+02
2.210804171912797901e+05;1.906016393571400316e+06;2.955015847519047725e+02
2.210858543436147447e+05;1.906021179923610529e+06;3.011892536915789265e+02
2.210485183826033317e+05;1.905985408883835655e+06;3.068516368316666671e+02
2.210927058624269848e+05;1.906026465499115409e+06;3.035297696300000325e+02
2.210508269735800859e+05;1.905983781103598187e+06;2.971760346725675959e+02
2.210520682131449867e+05;1.905985514869689243e+06;2.970586766116666695e+02
2.210553283153020893e+05;1.905988049268469447e+06;2.966815654052830382e+02
2.210653444746726891e+05;1.906008364014293533e+06;2.952767995904084160e+02
2.210566910801925987e+05;1.905989412979527842e+06;3.016383712510526038e+02
